2023-03-30 18:30:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f641e90b7f0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:30:40 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f641e7941c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:30:40 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f641e794fa0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:32:25 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb61c045fd0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:32:25 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb61bf540a0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:32:25 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb61bf54280>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:56:30 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8de21dcca0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:56:30 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8de20fe070>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 18:56:30 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8de20fe1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 19:10:27 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f990f58bd00>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 19:10:27 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f990f58b4c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 19:10:27 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f990f58be20>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 20:14:59 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f43bf8fad90>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 20:14:59 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f43bf79e9a0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
2023-03-30 20:14:59 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f43bf79e8e0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')': /api/5288891/envelope/
