========================================
Total Params: 71891291
Trainable Params: 71891291
Non-trainable Params: 0
========================================
LOG FORMAT | segmentation_LOSS mIoU pixAcc | depth_LOSS abs_err rel_err | normal_LOSS mean median <11.25 <22.5 <30 | TIME
loss: 5.116543769836426, losses: tensor([3.1521, 0.7866, 1.1778], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.42112398147583, losses: tensor([2.6978, 0.8200, 0.9033], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.146337509155273, losses: tensor([2.5613, 0.5768, 1.0082], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.8788821697235107, losses: tensor([2.3050, 0.6737, 0.9002], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.7464351654052734, losses: tensor([2.1191, 0.5766, 1.0508], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.4973483085632324, losses: tensor([2.0812, 0.4998, 0.9163], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.4996743202209473, losses: tensor([1.9805, 0.5360, 0.9832], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.0576250553131104, losses: tensor([1.8049, 0.4870, 0.7657], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.887291431427002, losses: tensor([1.5957, 0.5098, 0.7818], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.202816963195801, losses: tensor([2.0269, 0.4067, 0.7692], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.013761281967163, losses: tensor([1.5661, 0.6496, 0.7981], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.828540325164795, losses: tensor([1.5679, 0.4905, 0.7702], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
