========================================
Total Params: 71888721
Trainable Params: 71888721
Non-trainable Params: 0
========================================
LOG FORMAT | segmentation_LOSS mIoU pixAcc | depth_LOSS abs_err rel_err | normal_LOSS mean median <11.25 <22.5 <30 | TIME
/zhome/e0/1/158047/.local/lib/python3.8/site-packages/torch/utils/data/dataloader.py:474: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
loss: 6.330452919006348, losses: tensor([2.6375, 2.3860, 1.3069], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.6625189781188965, losses: tensor([2.5186, 2.2748, 0.8691], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.599362850189209, losses: tensor([2.5315, 2.3893, 0.6785], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.562108993530273, losses: tensor([2.3911, 2.5186, 0.6525], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.215183258056641, losses: tensor([2.3580, 2.2798, 0.5773], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.192415237426758, losses: tensor([2.4171, 2.1758, 0.5995], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.0958251953125, losses: tensor([2.2782, 2.2924, 0.5252], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.83357572555542, losses: tensor([2.3191, 2.0901, 0.4244], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.486878871917725, losses: tensor([2.2351, 1.8029, 0.4488], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.4177141189575195, losses: tensor([2.1704, 1.8864, 0.3609], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.804686069488525, losses: tensor([2.2978, 1.9648, 0.5420], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.815515518188477, losses: tensor([2.1201, 2.2700, 0.4254], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.4869704246521, losses: tensor([2.3166, 1.7189, 0.4515], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.055838584899902, losses: tensor([2.1820, 2.4181, 0.4557], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
