/zhome/e0/1/158047/.local/lib/python3.8/site-packages/torch/utils/data/dataloader.py:474: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
========================================
Total Params: 71891291
Trainable Params: 71891291
Non-trainable Params: 0
========================================
LOG FORMAT | segmentation_LOSS mIoU pixAcc | depth_LOSS abs_err rel_err | normal_LOSS mean median <11.25 <22.5 <30 | TIME
loss: 0.8663777112960815, losses: tensor([3.0708, 0.8664, 1.1772], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.8288951516151428, losses: tensor([3.0482, 0.8289, 1.0122], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 1.0280752182006836, losses: tensor([3.0971, 1.0281, 1.1784], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.977679967880249, losses: tensor([3.0710, 0.9777, 1.2312], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.8955002427101135, losses: tensor([3.0788, 0.8955, 1.1148], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.8332460522651672, losses: tensor([3.1522, 0.8332, 1.0860], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.6325417757034302, losses: tensor([3.1435, 0.6325, 1.1750], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.734197735786438, losses: tensor([3.1315, 0.7342, 1.0829], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.46793293952941895, losses: tensor([3.1293, 0.4679, 1.0324], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.5006159543991089, losses: tensor([3.0692, 0.5006, 1.0868], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.4432976543903351, losses: tensor([3.0823, 0.4433, 1.2570], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.5506771802902222, losses: tensor([3.1109, 0.5507, 1.1219], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
