2023-03-31 11:11:00,954 INFO    MainThread:44205 [wandb_setup.py:_flush():76] Configure stats pid to 44205
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_setup.py:_flush():76] Loading settings from /home/dim/.config/wandb/settings
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_setup.py:_flush():76] Loading settings from /home/dim/mdpi_robotics/LibMTL/wandb/settings
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'examples/warehouseSIM/train_warehouseSIM.py', 'program': 'examples/warehouseSIM/train_warehouseSIM.py'}
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_init.py:_log_setup():506] Logging user logs to /home/dim/mdpi_robotics/LibMTL/wandb/run-20230331_111100-l1p0uj8z/logs/debug.log
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_init.py:_log_setup():507] Logging internal logs to /home/dim/mdpi_robotics/LibMTL/wandb/run-20230331_111100-l1p0uj8z/logs/debug-internal.log
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_init.py:init():546] calling init triggers
2023-03-31 11:11:00,955 INFO    MainThread:44205 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-31 11:11:00,956 INFO    MainThread:44205 [wandb_init.py:init():602] starting backend
2023-03-31 11:11:00,956 INFO    MainThread:44205 [wandb_init.py:init():606] setting up manager
2023-03-31 11:11:00,961 INFO    MainThread:44205 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-31 11:11:00,966 INFO    MainThread:44205 [wandb_init.py:init():613] backend started and connected
2023-03-31 11:11:00,971 INFO    MainThread:44205 [wandb_init.py:init():701] updated telemetry
2023-03-31 11:11:00,980 INFO    MainThread:44205 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-31 11:11:01,584 INFO    MainThread:44205 [wandb_run.py:_on_init():2133] communicating current version
2023-03-31 11:11:01,747 INFO    MainThread:44205 [wandb_run.py:_on_init():2142] got version response 
2023-03-31 11:11:01,747 INFO    MainThread:44205 [wandb_init.py:init():789] starting run threads in backend
2023-03-31 11:11:03,012 INFO    MainThread:44205 [wandb_run.py:_console_start():2114] atexit reg
2023-03-31 11:11:03,012 INFO    MainThread:44205 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-31 11:11:03,013 INFO    MainThread:44205 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-31 11:11:03,013 INFO    MainThread:44205 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-31 11:11:03,013 INFO    MainThread:44205 [wandb_init.py:init():831] run started, returning control to user process
